id,cast_id,store_id,date,planned_start,planned_end,actual_start,actual_end,is_late,is_absent,help_from_store_id,notes,shift_data,help_cast_name
34,25,1,2026-02-06,,,2026-02-06 19:00:00.000000,2026-02-07 05:00:00.000000,0,0,,,"{""set_l"": 3.0, ""set_mg"": 7.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 34, ""drink_back"": 6800, ""daily_payment"": 10000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 71, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 10.0}",
35,21,1,2026-02-06,,,2026-02-06 19:00:00.000000,2026-02-07 04:30:00.000000,0,0,,,"{""set_l"": 2.0, ""set_mg"": 11.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 48, ""drink_back"": 9600, ""daily_payment"": 9500, ""rt_count"": 1, ""nt_count"": 1, ""distribution_count"": 34, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.5}",
36,19,1,2026-02-06,,,2026-02-06 21:00:00.000000,2026-02-07 00:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 35, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 3.0}",
37,20,1,2026-02-06,,,2026-02-06 23:00:00.000000,2026-02-07 05:00:00.000000,0,0,,,"{""set_l"": 4.0, ""set_mg"": 5.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 28, ""drink_back"": 5600, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 6.0}",
38,5,1,2026-02-06,,,2026-02-07 00:00:00.000000,2026-02-07 04:30:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 5.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 22, ""drink_back"": 4400, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 2, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.5}",
39,8,1,2026-02-06,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
40,23,1,2026-02-06,,,,,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 5, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
41,25,1,2026-02-07,,,2026-02-07 19:00:00.000000,2026-02-08 04:00:00.000000,0,0,,,"{""set_l"": 2.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 4, ""drink_back"": 800, ""daily_payment"": 9000, ""rt_count"": 1, ""nt_count"": 0, ""distribution_count"": 55, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.0}",
42,21,1,2026-02-07,,,2026-02-07 19:00:00.000000,2026-02-08 04:00:00.000000,0,0,,,"{""set_l"": 4.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 8, ""drink_back"": 1600, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 0, ""distribution_count"": 59, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.0}",
43,12,1,2026-02-07,,,2026-02-07 20:00:00.000000,2026-02-08 00:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 24, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
44,19,1,2026-02-07,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
45,25,1,2026-02-08,,,2026-02-08 19:00:00.000000,2026-02-09 04:00:00.000000,0,0,,,"{""set_l"": 4.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 8, ""drink_back"": 1600, ""daily_payment"": 9000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 28, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.0}",
46,21,1,2026-02-08,,,2026-02-08 19:00:00.000000,2026-02-09 04:00:00.000000,0,0,,,"{""set_l"": 6.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 12, ""drink_back"": 2400, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 1, ""distribution_count"": 59, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.0}",
47,4,1,2026-02-08,,,2026-02-08 22:00:00.000000,2026-02-09 04:00:00.000000,0,0,,,"{""set_l"": 3.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 6, ""drink_back"": 1200, ""daily_payment"": 6000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 30, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 6.0}",
48,19,1,2026-02-08,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
49,8,1,2026-02-08,,,,,0,1,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
50,16,1,2026-02-08,,,2026-02-08 18:30:00.000000,2026-02-09 00:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.5}",
51,25,1,2026-02-09,,,2026-02-09 19:00:00.000000,2026-02-10 04:00:00.000000,0,0,,,"{""set_l"": 7.0, ""set_mg"": 5.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 34, ""drink_back"": 6800, ""daily_payment"": 9000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 33, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.0}",
52,24,1,2026-02-09,,,2026-02-09 19:00:00.000000,2026-02-09 23:30:00.000000,0,0,,,"{""set_l"": 2.0, ""set_mg"": 3.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 16, ""drink_back"": 3200, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 0, ""distribution_count"": 51, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.5}",
53,19,1,2026-02-09,,,2026-02-09 20:00:00.000000,2026-02-10 00:00:00.000000,0,0,,,"{""set_l"": 3.0, ""set_mg"": 2.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 14, ""drink_back"": 2800, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 1, ""distribution_count"": 16, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
54,22,1,2026-02-09,,,2026-02-09 22:00:00.000000,2026-02-10 04:00:00.000000,0,0,,,"{""set_l"": 5.0, ""set_mg"": 5.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 30, ""drink_back"": 6000, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 1, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 6.0}",
55,26,1,2026-02-09,,,2026-02-10 01:00:00.000000,2026-02-10 04:00:00.000000,0,0,,,"{""set_l"": 4.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 8, ""drink_back"": 1600, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 1, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 3.0}",
56,15,1,2026-02-09,,,2026-02-09 18:30:00.000000,2026-02-10 01:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 6500, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 6.5}",
57,14,1,2026-02-09,,,2026-02-10 00:00:00.000000,2026-02-10 05:00:00.000000,0,0,,,"{""set_l"": 4.0, ""set_mg"": 1.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 12, ""drink_back"": 2400, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
58,21,1,2026-02-10,,,2026-02-11 02:30:00.000000,2026-02-11 04:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 1.5}",
59,12,1,2026-02-10,,,2026-02-10 20:00:00.000000,2026-02-11 00:30:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 3.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 14, ""drink_back"": 2800, ""daily_payment"": 0, ""rt_count"": 1, ""nt_count"": 0, ""distribution_count"": 27, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.5}",
